Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
3080000,1050,Peermachhala,0,1,0,0,1.0,1.0,1,0,0,,0,,0,0,0
4450000,1000,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
23500000,3250,Sector 34,0,0,1,0,,,0,1,1,1.0,0,,0,0,1
2790000,1150,Zirakpur GAzipur Road,0,1,0,0,1.0,,0,0,0,,0,,0,0,0
3590000,850,Sec 124 Sunny Enclave,0,1,1,0,1.0,1.0,1,0,0,,1,,0,0,0
3490000,1100,Sunny Enclave,0,1,0,0,,,0,1,0,,0,,0,0,0
3800000,1360,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
6500003,1755,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
1790000,600,Mohali Sector 127,0,1,0,0,1.0,1.0,1,1,1,1.0,0,1.0,0,1,0
2690000,1100,Mohali Sector 127,0,1,1,0,1.0,1.0,1,1,0,,1,1.0,0,0,0
2750000,930,Mohali Sector 127,0,1,0,0,,,0,0,0,,0,,0,0,0
2690000,1050,Mohali Sector 127,0,1,0,0,1.0,1.0,1,1,1,1.0,0,1.0,0,1,0
4000000,1450,PEER MUCHALLA ADJOING SEC 20 PANCHKULA,0,1,0,0,1.0,,1,0,0,,0,,0,0,0
3890000,1100,Dhakoli,0,1,0,1,,,0,0,0,,0,,0,0,0
3690000,1100,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
3600000,1190,Dhakoli,0,1,1,0,,,0,1,0,1.0,0,,0,0,1
3890000,1125,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
3790000,1100,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
6200000,1755,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
2990000,900,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
3750000,1150,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
3000000,900,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
5550000,1410,Dhakoli,0,1,1,1,,,0,1,1,,0,,0,0,1
3000000,900,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
6250000,1755,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
6300000,1600,Dhakoli,0,1,1,1,,,0,1,1,,0,,0,0,1
3800000,1100,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
3790000,1150,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
3700000,1150,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
5500000,1580,Dhakoli,0,1,1,1,,,0,1,1,,0,,0,0,0
3990000,1008,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
2000000,900,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
7000000,1640,New chandigarh mohali,0,0,0,0,,,0,1,1,,0,,0,0,1
3750000,1170,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
3450000,1098,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
3750000,1098,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
3790000,1100,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
2690000,855,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
3790000,1170,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
3590000,1100,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
3790000,1100,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
4100000,1100,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
2790000,855,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
2690000,855,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
3490000,1098,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
3790000,1098,Dhakoli,0,1,0,1,,,0,1,0,,0,,0,0,0
2790000,855,Dhakoli,0,1,0,0,,,0,1,0,,0,,0,0,0
3499200,1350,Lohgarh,0,1,0,0,,,0,0,0,,0,,0,0,0
8000000,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
14000000,2250,Sector 53,0,1,0,0,,,0,0,0,,0,,0,0,0
14000000,1800,Sector 60,0,1,0,0,,,0,0,0,,0,,0,0,0
8536178,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7505160,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
13500000,2250,Sector 60,0,1,0,0,,,0,0,0,,0,,0,0,0
9500000,1800,Sector 69,0,0,0,0,,,0,0,0,,0,,0,0,0
23500000,2250,Sector 34,0,1,0,0,,,0,0,0,,0,,0,0,0
7501600,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7503160,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7510310,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7510310,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7501000,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8460000,2550,Mullanpur Garibdass,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8130000,2450,Mullanpur Garibdass,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8190000,2300,Mullanpur Garibdass,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7135000,2000,Mullanpur Garibdass,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7135000,2000,Mullanpur,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
5880000,1596,Mullanpur,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
6690000,1955,Mullanpur,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7020000,2050,Mullanpur Garibdass,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
6930000,2020,Mullanpur,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
5820000,1580,Mullanpur Garibdass,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8130000,2450,Mullanpur,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7425000,2165,Mullanpur,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8190000,2300,Mullanpur,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
3490000,1100,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
3890000,1350,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
3090000,1017,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
8000000,2220,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
3089000,1020,Sunny Enclave,0,1,0,0,,,0,0,0,,0,,0,0,0
2900000,1100,Dhakoli,0,1,0,0,,,0,1,0,1.0,0,,0,0,0
2900000,1250,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
5200000,1600,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
3500000,1350,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
3800000,1400,Dhakoli,0,1,0,0,,,0,1,0,1.0,0,,0,0,0
8550000,1666,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8500300,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8550030,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8565003,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
7503160,1415,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8550030,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8546500,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8524650,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8565003,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
3500000,1350,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
2900000,1250,Dhakoli,0,1,0,0,,,0,0,0,,0,,0,0,0
3800000,1400,Dhakoli,0,1,0,0,,,0,1,0,1.0,0,,0,0,0
5200000,1600,Dhakoli,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8565003,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
8565003,1778,New chandigarh mohali,0,1,1,1,,,0,1,1,1.0,0,,0,0,1
9700000,2875,New Chandigarh Mullanpur,0,1,1,1,1.0,1.0,1,1,0,1.0,0,,0,1,1
3505260,1034,New Chandigarh Mullanpur,0,1,1,1,1.0,1.0,1,1,1,1.0,0,1.0,0,1,1
5500000,1730,Chandigarh Road,0,1,1,1,1.0,,1,0,0,,0,,0,0,1
5819000,1580,Omaxe New Chandigarh,0,1,1,1,1.0,,1,0,0,,0,,0,0,1
6396000,1725,New Chandigarh Mullanpur,0,1,1,0,1.0,,1,0,0,,0,,0,0,1
1490000,580,Mohali Sector 127,0,1,0,0,1.0,,1,0,0,,0,,0,0,0
6388000,1725,New Chandigarh Mullanpur,0,1,0,0,,,0,0,0,,0,,0,0,0
5817000,1580,Omaxe New Chandigarh,0,1,1,1,1.0,,1,0,0,,0,,0,0,1
